-10	160

-9	121,93

-8	88,92

-7	60,97

-6	38,08

-5	20,25

-4	7,48

-3	-0,23

-2	-2,88

-1	-0,47

0	7

1	19,53

2	37,12

3	59,77

4	87,48

5	120,25

6	158,08

7	200,97

8	248,92

9	301,93

10	360

11	423,13

12	491,32

13	564,57

14	642,88

15	726,25

16	814,68

17	908,17

18	1006,72

19	1110,33

20	1219

21	1332,73

22	1451,52

23	1575,37

24	1704,28

25	1838,25

26	1977,28

27	2121,37

28	2270,52

29	2424,73

30	2584

31	2748,33

32	2917,72

33	3092,17

34	3271,68

35	3456,25

36	3645,88

37	3840,57

38	4040,32

39	4245,13

40	4455

41	4669,93

42	4889,92

43	5114,97

44	5345,08

45	5580,25

46	5820,48

47	6065,77

48	6316,12

49	6571,53

50	6832

51	7097,53

52	7368,12

53	7643,77

54	7924,48

55	8210,25

56	8501,08

57	8796,97

58	9097,92

59	9403,93

60	9715

61	10031,13

62	10352,32

63	10678,57

64	11009,88

65	11346,25

66	11687,68

67	12034,17

68	12385,72

69	12742,33

70	13104

71	13470,73

72	13842,52

73	14219,37

74	14601,28

75	14988,25

76	15380,28

77	15777,37

78	16179,52

79	16586,73

80	16999

81	17416,33

82	17838,72

83	18266,17

84	18698,68

85	19136,25

86	19578,88

87	20026,57

88	20479,32

89	20937,13

90	21400

91	21867,93

92	22340,92

93	22818,97

94	23302,08

95	23790,25

96	24283,48

97	24781,77

98	25285,12

99	25793,53

100	26307

101	26825,53

102	27349,12

103	27877,77

104	28411,48

105	28950,25

106	29494,08

107	30042,97

108	30596,92

109	31155,93

110	31720

111	32289,13

112	32863,32

113	33442,57

114	34026,88

115	34616,25

116	35210,68

117	35810,17

118	36414,72

119	37024,33

120	37639

121	38258,73

122	38883,52

123	39513,37

124	40148,28

125	40788,25

126	41433,28

127	42083,37

128	42738,52

129	43398,73

130	44064

131	44734,33

132	45409,72

133	46090,17

134	46775,68

135	47466,25

136	48161,88

137	48862,57

138	49568,32

139	50279,13

140	50995

141	51715,93

142	52441,92

143	53172,97

144	53909,08

145	54650,25

146	55396,48

147	56147,77

148	56904,12

149	57665,53

150	58432

151	59203,53

152	59980,12

153	60761,77

154	61548,48

155	62340,25

156	63137,08

157	63938,97

158	64745,92

159	65557,93

160	66375

161	67197,13

162	68024,32

163	68856,57

164	69693,88

165	70536,25

